product_id,product_name,warehouse_id,stock_qty,reorder_level,safety_stock,inventory_value
P00001,"HIV, Reveal G3 Rapid HIV-1 Antibody Test, 30 Tests",WH003,2021,116,266,365.04
P00002,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",WH001,3460,233,28,8270.11
P00003,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",WH004,1713,360,146,43567.59
P00004,"Lamivudine 150mg, tablets, 60 Tabs",WH003,4994,340,148,239600.28
P00005,"Stavudine 30mg, capsules, 60 Caps",WH003,1283,85,271,145161.41
P00006,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",WH004,3162,62,65,3883.62
P00007,"Efavirenz 200mg [Stocrin/Sustiva], capsule, 90 Caps",WH001,2942,346,191,8555.68
P00008,"Nevirapine 200mg, tablets, 60 Tabs",WH004,4881,490,207,88486.64
P00009,"Stavudine 30mg, capsules, 60 Caps",WH004,1130,307,173,714.15
P00010,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",WH002,427,198,94,162633.14
P00011,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",WH004,1198,259,188,104300.52
P00012,"HIV 1/2, InstantChek HIV 1+2 Kit, 100 Tests",WH002,2123,85,236,1633.96
P00013,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",WH004,4086,270,276,157764.24
P00014,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",WH001,2085,99,228,119963.07
P00015,"#102198**Didanosine 200mg [Videx], tablets, 60 Tabs",WH001,4645,220,226,21238.65
P00016,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",WH001,4697,315,119,121756.6
P00017,"HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit, 30 Tests",WH004,2637,444,58,59679.29
P00018,"Didanosine 2g [Videx], powder for oral solution 10mg/ml, reconstitute to 200 ml",WH001,1797,462,108,12555.9
P00019,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",WH004,1840,451,205,86029.89
P00020,"HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",WH002,2665,130,195,274468.7
P00021,"#102198**Didanosine 200mg [Videx], tablets, 60 Tabs",WH003,3571,320,87,97562.63
P00022,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",WH002,2220,438,66,1072.34
P00023,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",WH002,748,142,279,79546.06
P00024,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",WH002,4453,434,140,107788.53
P00025,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",WH002,2454,436,124,7137.45
P00026,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests",WH003,2748,499,127,129362.38
P00027,"Stavudine 30mg, capsules, 60 Caps",WH003,1002,474,130,82323.94
P00028,"HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",WH004,2738,79,231,539633.54
P00029,"Zidovudine 10mg/ml [Retrovir], oral solution, Bottle, 200 ml",WH003,3714,441,244,554.66
P00030,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",WH003,3867,50,261,20378.88
P00031,"Zidovudine 300mg, tablets, 60 Tabs",WH003,4380,415,206,2605.01
P00032,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",WH002,2800,233,41,23.06
P00033,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",WH002,2331,274,146,10.68
P00034,"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",WH001,1390,129,247,604.98
P00035,"HIV 1/2, Capillus HIV Kit, 100 Tests",WH004,1269,259,138,341.38
P00036,"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests",WH003,2711,161,217,61851.25
P00037,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests",WH001,4684,199,117,13801.89
P00038,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",WH002,1793,303,77,3.01
P00039,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",WH002,4356,245,171,3.69
P00040,"HIV 1/2, Capillus HIV Kit, 100 Tests",WH004,2423,111,225,20127.93
P00041,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",WH003,4692,261,195,66335.82
P00042,"HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",WH002,4463,190,176,66396.87
P00043,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",WH004,1746,77,99,19816.42
P00044,"Efavirenz 600mg, tablets, 30 Tabs",WH001,1022,311,108,170905.94
P00045,"Saquinavir 200mg [Invirase], capsules, 270 Caps",WH001,3477,264,54,371.7
P00046,"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",WH001,1470,242,209,1727.4
P00047,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",WH002,2431,424,129,3444.55
P00048,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",WH003,4718,52,42,124.36
P00049,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",WH001,1222,250,141,383640.56
P00050,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",WH004,4080,180,238,40.68
P00051,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",WH002,953,70,73,750.97
P00052,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",WH003,4900,93,175,35938.28
P00053,"Stavudine 20mg [Zerit], capsules, 60 Caps",WH001,1994,59,210,131.45
P00054,"Didanosine EC 250mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",WH004,4103,366,200,3419.53
P00055,"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",WH003,4099,281,191,1841.65
P00056,"Didanosine EC 400mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",WH003,1446,402,298,70951.62
P00057,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",WH004,3292,289,114,12730.21
P00058,"HIV 1/2, Capillus HIV Kit, 100 Tests",WH004,4144,484,143,15665.68
P00059,"Abacavir 300mg [Ziagen], tablets, Blister 6 x 10 Tabs",WH003,3033,339,70,1367.91
P00060,"Lamivudine 150mg, tablets, 60 Tabs",WH001,2038,138,229,165021.99
P00061,"Artemether/Lumefantrine 20/120mg [Coartem], scored tablets, Blister 30 x 18 Tabs",WH001,2720,340,225,2204.83
P00062,"Stavudine 30mg, capsules, 60 Caps",WH001,1470,474,59,86625.27
P00063,"Nevirapine 10mg/ml [Viramune], oral suspension, Bottle, 240 ml",WH001,1107,142,201,1145.04
P00064,"Efavirenz 600mg, tablets, 30 Tabs",WH001,2390,327,284,331945.11
P00065,"Malaria Paramax-3 Kit, 25 Tests",WH003,3791,481,123,5088.48
P00066,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",WH002,3821,307,261,404756.23
P00067,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",WH002,3116,227,186,503.5
P00068,"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests",WH004,3687,335,29,58973.12
P00069,"Artesunate+Amodiaquine 50+153mg, tablets, co-blister 6+6 Tabs",WH001,651,227,131,8547.72
P00070,"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg [Atripla], tablets, 30 Tabs",WH004,867,244,31,530.44
P00071,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",WH003,890,126,80,19563.04
P00072,"#109436**HIV 1, Uni-Gold Recombigen HIV Control, Vial 2 x 0.5 ml",WH001,2472,190,87,812.98
P00073,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests",WH001,4162,178,80,11139.86
P00074,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",WH003,715,428,242,2109.69
P00075,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",WH001,1590,282,259,4434.48
P00076,"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",WH004,4138,86,295,1615.52
P00077,"Didanosine 100mg [Videx],chewable tablets, 60 Tabs",WH004,4506,203,187,165.62
P00078,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",WH003,2921,307,75,1480.57
P00079,"Malaria Paramax-3 Kit, 25 Tests",WH002,4596,361,135,7487.6
